date,vehicle_id,model,region,repair_type,issue_category,technician_level,service_cycle_time_hrs,mtbf_hours,fleet_uptime_pct,resolution_rate,parts_cost,labor_cost,total_cost
2026-02-28,RBT0088,Cybercab,Phoenix AZ,Scheduled Maintenance,Tire Replacement,Senior,1.97,219.81,84.93,0.92,1200.85,276.42,1477.27
2026-02-28,RBT0031,Model Y,Las Vegas NV,Scheduled Maintenance,Sensor Failure,Senior,1.87,408.61,85.8,0.972,1941.42,150.4,2091.82
2026-02-28,RBT0180,Model 3,Phoenix AZ,Tesla Fleet,Battery Issue,Senior,3.77,449.99,80.7,0.969,1725.72,390.28,2116.0
2026-02-28,RBT0183,Cybercab,Las Vegas NV,Tesla Fleet,Tire Replacement,Senior,4.55,235.52,76.21,0.936,507.8,574.77,1082.57
2026-02-28,RBT0073,Model Y,Las Vegas NV,Tesla Fleet,Software Update,Senior,1.36,159.13,90.37,0.949,245.99,119.1,365.09000000000003
2026-02-28,RBT0033,Model 3,Austin TX,Tesla Fleet,Sensor Failure,Junior,2.3,130.24,84.86,0.91,526.18,243.31,769.49
2026-02-28,RBT0141,Cybercab,San Francisco CA,B2B Customer,Software Update,Junior,1.32,306.83,90.0,0.884,1830.02,112.81,1942.83
2026-02-28,RBT0171,Cybercab,Miami FL,Scheduled Maintenance,Tire Replacement,Mid,1.19,322.67,91.64,0.915,610.88,137.96,748.84
2026-02-28,RBT0004,Cybercab,San Francisco CA,Robotaxi Repair,Brake System,Mid,4.95,475.97,76.22,0.947,940.83,483.47,1424.3000000000002
2026-02-28,RBT0017,Model 3,Las Vegas NV,Scheduled Maintenance,Electrical Issue,Mid,0.66,375.25,91.69,0.891,1413.59,50.58,1464.1699999999998
2026-02-28,RBT0029,Model 3,Miami FL,Scheduled Maintenance,Battery Issue,Junior,1.35,371.43,90.36,0.857,1232.49,151.42,1383.91
2026-02-28,RBT0011,Model 3,San Francisco CA,Tesla Fleet,Electrical Issue,Junior,3.43,310.09,81.26,0.937,1371.64,442.48,1814.1200000000001
2026-02-28,RBT0060,Model Y,San Francisco CA,B2B Customer,Tire Replacement,Junior,4.61,449.85,75.01,0.912,1180.17,599.43,1779.6
2026-02-28,RBT0040,Cybercab,Las Vegas NV,Robotaxi Repair,Battery Issue,Mid,3.99,391.03,76.9,0.926,1944.4,458.1,2402.5
2026-02-28,RBT0159,Model Y,San Francisco CA,Tesla Fleet,Electrical Issue,Junior,2.03,232.99,86.48,0.963,1505.79,203.61,1709.4
2026-02-28,RBT0162,Model 3,San Francisco CA,Robotaxi Repair,Brake System,Junior,1.56,174.66,89.93,0.951,1960.89,230.62,2191.51
2026-02-28,RBT0178,Model Y,Phoenix AZ,Emergency Repair,Battery Issue,Junior,6.74,320.56,75.0,0.914,1362.02,845.88,2207.9
2026-02-28,RBT0125,Cybercab,Austin TX,Emergency Repair,Brake System,Senior,7.64,260.33,75.0,0.854,1774.26,894.89,2669.15
2026-02-28,RBT0001,Cybercab,Phoenix AZ,Emergency Repair,Software Update,Senior,2.38,128.95,86.72,0.892,846.18,203.39,1049.57
2026-02-28,RBT0158,Model Y,San Francisco CA,Robotaxi Repair,Battery Issue,Mid,1.46,305.39,89.05,0.904,773.47,214.11,987.58
2026-02-28,RBT0200,Cybercab,Las Vegas NV,Emergency Repair,Brake System,Senior,6.45,198.18,75.0,0.864,1004.23,681.56,1685.79
2026-02-28,RBT0135,Model Y,Austin TX,Tesla Fleet,Sensor Failure,Senior,2.48,345.74,86.46,0.97,243.74,313.8,557.54
2026-02-28,RBT0129,Cybercab,Las Vegas NV,Emergency Repair,Tire Replacement,Mid,2.36,387.04,87.03,0.983,1657.17,193.5,1850.67
2026-02-28,RBT0135,Model Y,Austin TX,B2B Customer,Tire Replacement,Senior,3.39,328.85,82.03,0.884,295.55,397.63,693.1800000000001
2026-02-28,RBT0095,Model 3,Miami FL,Robotaxi Repair,Electrical Issue,Senior,1.83,344.64,88.86,0.896,337.73,260.65,598.38
2026-02-28,RBT0014,Model Y,Phoenix AZ,Robotaxi Repair,Battery Issue,Junior,4.95,349.61,75.57,0.865,1739.57,420.19,2159.7599999999998
2026-02-28,RBT0166,Cybercab,San Francisco CA,Tesla Fleet,Electrical Issue,Junior,3.36,240.63,80.08,0.868,870.87,280.26,1151.13
2026-02-28,RBT0175,Cybercab,Phoenix AZ,Robotaxi Repair,Brake System,Mid,4.11,260.53,76.3,0.921,1893.56,321.78,2215.34
2026-02-28,RBT0020,Model Y,Austin TX,Emergency Repair,Battery Issue,Mid,5.86,121.25,75.0,0.969,881.23,486.95,1368.18
2026-02-28,RBT0048,Cybercab,Austin TX,Scheduled Maintenance,Sensor Failure,Junior,0.98,141.93,89.41,0.937,1191.46,126.25,1317.71
2026-02-28,RBT0166,Cybercab,San Francisco CA,Scheduled Maintenance,Camera Calibration,Senior,0.94,260.22,90.79,0.961,273.11,116.95,390.06
2026-02-28,RBT0196,Model 3,San Francisco CA,Emergency Repair,Tire Replacement,Junior,4.58,227.52,75.57,0.966,827.52,594.18,1421.6999999999998
2026-02-28,RBT0066,Model 3,San Francisco CA,Tesla Fleet,Brake System,Mid,3.66,350.97,78.36,0.979,180.91,502.88,683.79
2026-02-28,RBT0165,Model Y,Miami FL,Robotaxi Repair,Brake System,Junior,3.98,446.91,76.94,0.858,1915.42,465.97,2381.3900000000003
2026-02-28,RBT0106,Model Y,Phoenix AZ,Robotaxi Repair,Brake System,Mid,4.49,405.65,75.96,0.978,150.32,434.04,584.36
2026-02-28,RBT0145,Model 3,Phoenix AZ,Tesla Fleet,Battery Issue,Junior,3.31,416.51,81.83,0.881,261.03,458.35,719.38
2026-02-28,RBT0118,Cybercab,Las Vegas NV,Tesla Fleet,Sensor Failure,Mid,3.3,448.29,82.65,0.986,1645.93,398.92,2044.8500000000001
2026-02-28,RBT0025,Model Y,San Francisco CA,Emergency Repair,Sensor Failure,Senior,7.57,473.18,75.0,0.875,1420.26,743.62,2163.88
2026-02-28,RBT0071,Model 3,San Francisco CA,Tesla Fleet,Battery Issue,Junior,1.73,397.73,88.44,0.86,1494.89,255.19,1750.0800000000002
2026-02-28,RBT0012,Model Y,Miami FL,Robotaxi Repair,Tire Replacement,Senior,1.86,472.79,86.61,0.902,1457.11,247.94,1705.05
2026-02-28,RBT0160,Cybercab,Miami FL,Emergency Repair,Camera Calibration,Junior,7.3,230.22,75.0,0.857,209.08,790.11,999.19
2026-02-28,RBT0028,Model Y,Austin TX,Scheduled Maintenance,Brake System,Senior,1.16,418.93,91.17,0.866,888.33,111.94,1000.27
2026-02-28,RBT0120,Model 3,Miami FL,Emergency Repair,Brake System,Senior,6.0,297.82,75.0,0.934,64.99,585.91,650.9
2026-02-28,RBT0040,Cybercab,Las Vegas NV,B2B Customer,Electrical Issue,Junior,4.06,395.58,76.58,0.92,889.78,343.55,1233.33
2026-02-28,RBT0169,Model Y,San Francisco CA,Emergency Repair,Tire Replacement,Junior,5.0,297.33,75.38,0.86,1730.44,390.99,2121.4300000000003
2026-02-28,RBT0029,Model 3,Miami FL,Robotaxi Repair,Brake System,Junior,4.45,367.03,76.76,0.949,864.5,372.06,1236.56
2026-02-28,RBT0065,Model 3,Austin TX,Robotaxi Repair,Battery Issue,Junior,4.21,272.73,78.81,0.979,221.85,581.74,803.59
2026-02-28,RBT0162,Model 3,San Francisco CA,B2B Customer,Brake System,Senior,2.6,139.15,85.64,0.954,482.07,347.17,829.24
2026-02-28,RBT0153,Model 3,Austin TX,Robotaxi Repair,Camera Calibration,Senior,1.46,300.4,90.56,0.899,1468.39,198.64,1667.0300000000002
2026-02-28,RBT0197,Model 3,San Francisco CA,B2B Customer,Software Update,Junior,1.59,255.89,88.8,0.956,1328.24,140.0,1468.24
2026-02-28,RBT0001,Cybercab,Phoenix AZ,Scheduled Maintenance,Brake System,Senior,1.64,113.96,89.86,0.929,1288.83,199.79,1488.62
2026-02-28,RBT0062,Model Y,San Francisco CA,Tesla Fleet,Software Update,Mid,1.27,145.69,88.91,0.888,159.54,143.93,303.47
2026-02-28,RBT0107,Cybercab,Austin TX,Tesla Fleet,Brake System,Mid,1.15,310.75,89.35,0.94,1955.87,94.07,2049.94
2026-02-28,RBT0136,Cybercab,Miami FL,Emergency Repair,Camera Calibration,Mid,4.78,454.17,76.27,0.975,926.98,648.31,1575.29
2026-02-28,RBT0065,Model 3,Austin TX,B2B Customer,Battery Issue,Senior,2.9,254.03,81.15,0.864,1803.3,292.45,2095.75
2026-02-28,RBT0073,Model Y,Las Vegas NV,Robotaxi Repair,Camera Calibration,Senior,1.69,129.91,87.71,0.912,1069.36,146.89,1216.25
2026-02-28,RBT0057,Model 3,Las Vegas NV,Tesla Fleet,Battery Issue,Mid,2.64,229.53,84.41,0.96,1312.25,210.66,1522.91
2026-02-28,RBT0127,Model 3,Las Vegas NV,Robotaxi Repair,Camera Calibration,Senior,2.55,330.08,85.8,0.985,1225.27,219.69,1444.96
2026-02-28,RBT0154,Cybercab,Austin TX,Robotaxi Repair,Camera Calibration,Senior,1.57,453.99,90.35,0.948,814.32,187.3,1001.6200000000001
2026-02-28,RBT0130,Model Y,San Francisco CA,Robotaxi Repair,Battery Issue,Senior,2.51,191.67,85.81,0.944,1666.47,326.9,1993.37
2026-02-28,RBT0101,Model Y,Austin TX,Emergency Repair,Sensor Failure,Senior,6.02,212.34,75.0,0.893,1904.78,606.07,2510.85
2026-02-28,RBT0185,Model Y,Phoenix AZ,Scheduled Maintenance,Software Update,Junior,2.0,294.2,85.85,0.96,1039.99,230.96,1270.95
2026-02-28,RBT0129,Cybercab,Las Vegas NV,Emergency Repair,Sensor Failure,Senior,4.02,406.65,76.77,0.903,366.38,552.23,918.61
2026-02-28,RBT0105,Model Y,Austin TX,Emergency Repair,Electrical Issue,Junior,6.33,321.75,75.0,0.951,1940.7,764.28,2704.98
2026-02-28,RBT0184,Cybercab,Las Vegas NV,Scheduled Maintenance,Software Update,Senior,0.86,302.62,92.56,0.977,428.33,108.09,536.42
2026-02-28,RBT0155,Model Y,San Francisco CA,Emergency Repair,Brake System,Mid,6.62,231.12,75.0,0.909,366.01,595.35,961.36
2026-02-28,RBT0167,Model 3,Phoenix AZ,Emergency Repair,Software Update,Mid,2.31,299.22,84.85,0.981,1437.23,262.98,1700.21
2026-02-28,RBT0058,Model 3,Las Vegas NV,Robotaxi Repair,Battery Issue,Junior,4.05,378.91,79.74,0.871,903.07,591.58,1494.65
2026-02-28,RBT0013,Cybercab,San Francisco CA,B2B Customer,Electrical Issue,Mid,4.54,453.22,75.75,0.906,779.22,471.84,1251.06
2026-02-28,RBT0025,Model Y,San Francisco CA,Robotaxi Repair,Battery Issue,Junior,1.11,477.23,91.72,0.941,1593.19,94.94,1688.13
2026-02-28,RBT0162,Model 3,San Francisco CA,Tesla Fleet,Electrical Issue,Mid,3.78,141.55,80.05,0.913,60.24,306.31,366.55
2026-02-28,RBT0133,Model Y,Miami FL,Tesla Fleet,Software Update,Junior,3.2,269.09,81.8,0.866,611.8,311.81,923.6099999999999
2026-02-28,RBT0147,Cybercab,Miami FL,Robotaxi Repair,Software Update,Mid,3.56,216.91,78.44,0.967,1024.67,409.64,1434.31
2026-02-28,RBT0128,Cybercab,San Francisco CA,Emergency Repair,Camera Calibration,Junior,6.31,283.65,75.0,0.899,1162.79,562.01,1724.8
2026-02-28,RBT0081,Model 3,San Francisco CA,Robotaxi Repair,Camera Calibration,Mid,1.27,205.04,89.73,0.988,1130.6,132.52,1263.12
2026-02-28,RBT0076,Cybercab,Miami FL,Scheduled Maintenance,Sensor Failure,Senior,1.08,110.93,91.49,0.9,181.74,100.56,282.3
2026-02-28,RBT0041,Cybercab,Phoenix AZ,Robotaxi Repair,Electrical Issue,Senior,3.94,165.3,76.76,0.926,1636.34,347.3,1983.6399999999999
2026-02-28,RBT0083,Model 3,San Francisco CA,Scheduled Maintenance,Tire Replacement,Mid,1.45,344.46,87.22,0.959,942.48,140.43,1082.91
2026-02-28,RBT0014,Model Y,Phoenix AZ,Robotaxi Repair,Electrical Issue,Junior,4.54,340.62,75.31,0.906,1640.04,502.04,2142.08
2026-02-28,RBT0049,Model Y,Miami FL,Robotaxi Repair,Electrical Issue,Senior,1.76,358.28,88.77,0.971,697.25,148.8,846.05
2026-02-28,RBT0011,Model 3,San Francisco CA,Tesla Fleet,Brake System,Mid,3.97,331.79,77.99,0.986,1017.6,446.25,1463.85
2026-02-28,RBT0070,Model 3,San Francisco CA,Emergency Repair,Battery Issue,Junior,6.36,235.16,75.0,0.965,1113.68,630.46,1744.14
2026-02-28,RBT0024,Model Y,Phoenix AZ,Robotaxi Repair,Battery Issue,Senior,2.18,473.84,86.78,0.873,915.62,236.88,1152.5
2026-02-28,RBT0052,Cybercab,Las Vegas NV,Tesla Fleet,Camera Calibration,Mid,2.1,247.2,88.05,0.861,1293.15,214.54,1507.69
2026-02-28,RBT0086,Cybercab,Las Vegas NV,B2B Customer,Sensor Failure,Junior,4.39,339.12,76.44,0.868,510.19,542.25,1052.44
2026-02-28,RBT0088,Cybercab,Phoenix AZ,Tesla Fleet,Brake System,Senior,1.13,206.14,90.09,0.902,915.68,91.23,1006.91
2026-02-28,RBT0039,Model Y,Austin TX,B2B Customer,Camera Calibration,Mid,2.59,497.98,83.2,0.866,1484.57,291.43,1776.0
2026-02-28,RBT0071,Model 3,San Francisco CA,Scheduled Maintenance,Camera Calibration,Junior,0.89,402.41,91.07,0.989,606.87,128.31,735.1800000000001
2026-02-28,RBT0041,Cybercab,Phoenix AZ,Scheduled Maintenance,Software Update,Junior,0.7,154.96,90.76,0.95,1994.66,95.54,2090.2000000000003
2026-02-28,RBT0006,Cybercab,Phoenix AZ,Tesla Fleet,Tire Replacement,Mid,3.84,134.0,78.17,0.892,357.14,492.12,849.26
2026-02-28,RBT0132,Model 3,Las Vegas NV,B2B Customer,Electrical Issue,Mid,3.04,372.85,81.16,0.869,1591.23,233.61,1824.8400000000001
2026-02-28,RBT0013,Cybercab,San Francisco CA,Emergency Repair,Camera Calibration,Mid,4.8,455.32,75.0,0.974,178.21,503.8,682.01
2026-02-28,RBT0129,Cybercab,Las Vegas NV,Scheduled Maintenance,Camera Calibration,Mid,1.65,408.93,86.4,0.986,1302.56,179.84,1482.3999999999999
2026-02-28,RBT0041,Cybercab,Phoenix AZ,Emergency Repair,Battery Issue,Junior,7.27,183.21,75.0,0.875,1934.22,780.89,2715.11
2026-02-28,RBT0199,Model Y,Austin TX,Robotaxi Repair,Electrical Issue,Junior,3.07,148.16,80.85,0.981,489.67,448.76,938.4300000000001
2026-02-28,RBT0065,Model 3,Austin TX,Emergency Repair,Battery Issue,Junior,3.5,273.4,80.6,0.868,640.51,402.96,1043.47
2026-02-28,RBT0151,Model 3,Las Vegas NV,Emergency Repair,Tire Replacement,Junior,5.55,359.23,75.0,0.937,1808.9,556.87,2365.77
2026-02-28,RBT0018,Model 3,San Francisco CA,Emergency Repair,Sensor Failure,Junior,2.49,277.94,85.72,0.887,461.08,293.28,754.3599999999999
2026-02-28,RBT0164,Model 3,Miami FL,Emergency Repair,Tire Replacement,Junior,4.99,489.09,75.0,0.984,991.74,675.16,1666.9
2026-02-28,RBT0037,Cybercab,Phoenix AZ,Scheduled Maintenance,Battery Issue,Mid,0.61,338.4,92.22,0.918,447.84,73.44,521.28
2026-02-28,RBT0089,Model 3,Miami FL,Tesla Fleet,Electrical Issue,Senior,2.28,447.52,84.89,0.906,1533.3,258.75,1792.05
2026-02-28,RBT0082,Model 3,Miami FL,Robotaxi Repair,Battery Issue,Junior,2.87,170.7,82.05,0.864,615.91,297.51,913.42
2026-02-28,RBT0079,Model 3,Miami FL,Emergency Repair,Brake System,Junior,7.78,420.09,75.0,0.981,1456.2,693.92,2150.12
2026-02-28,RBT0006,Cybercab,Phoenix AZ,B2B Customer,Brake System,Senior,2.87,147.16,83.04,0.863,816.82,313.37,1130.19
2026-02-28,RBT0032,Cybercab,San Francisco CA,B2B Customer,Software Update,Senior,2.41,450.02,84.93,0.974,1325.81,265.98,1591.79
2026-02-28,RBT0165,Model Y,Miami FL,Emergency Repair,Sensor Failure,Junior,4.59,467.3,76.8,0.957,763.58,481.68,1245.26
2026-02-28,RBT0200,Cybercab,Las Vegas NV,Emergency Repair,Camera Calibration,Junior,4.18,203.54,77.15,0.913,1122.22,571.57,1693.79
2026-02-28,RBT0009,Model 3,San Francisco CA,Emergency Repair,Tire Replacement,Senior,2.71,375.0,83.27,0.961,711.22,394.51,1105.73
2026-02-28,RBT0011,Model 3,San Francisco CA,B2B Customer,Software Update,Senior,3.04,316.0,80.53,0.869,699.43,335.63,1035.06
2026-02-28,RBT0172,Model 3,Phoenix AZ,Scheduled Maintenance,Software Update,Senior,1.84,469.59,89.06,0.895,816.26,223.04,1039.3
2026-02-28,RBT0022,Cybercab,Austin TX,Tesla Fleet,Camera Calibration,Mid,3.03,260.39,82.34,0.929,976.04,230.97,1207.01
2026-02-28,RBT0199,Model Y,Austin TX,Tesla Fleet,Tire Replacement,Junior,4.92,159.35,75.69,0.952,1391.69,378.8,1770.49
2026-02-28,RBT0088,Cybercab,Phoenix AZ,Scheduled Maintenance,Battery Issue,Senior,1.67,231.05,88.33,0.951,1187.87,146.99,1334.86
2026-02-28,RBT0160,Cybercab,Miami FL,Emergency Repair,Electrical Issue,Mid,2.89,251.23,81.1,0.983,264.3,220.6,484.9
2026-02-28,RBT0096,Model Y,Miami FL,Tesla Fleet,Brake System,Junior,2.65,120.16,83.96,0.936,969.63,367.62,1337.25
2026-02-28,RBT0111,Cybercab,Austin TX,Robotaxi Repair,Tire Replacement,Junior,3.07,414.44,84.18,0.917,784.81,451.22,1236.03
2026-02-28,RBT0086,Cybercab,Las Vegas NV,Scheduled Maintenance,Camera Calibration,Mid,1.32,339.03,90.97,0.945,1617.12,125.12,1742.2399999999998
2026-02-28,RBT0042,Cybercab,Miami FL,Scheduled Maintenance,Software Update,Junior,0.92,411.94,92.94,0.988,1553.79,117.45,1671.24
2026-02-28,RBT0021,Cybercab,Phoenix AZ,Scheduled Maintenance,Battery Issue,Mid,1.02,237.35,91.92,0.888,287.65,128.66,416.30999999999995
2026-02-28,RBT0103,Model 3,Austin TX,Scheduled Maintenance,Brake System,Mid,1.93,488.18,86.11,0.89,1442.58,195.08,1637.6599999999999
2026-02-28,RBT0091,Model Y,Austin TX,Scheduled Maintenance,Tire Replacement,Mid,1.62,208.56,89.56,0.888,1145.94,154.6,1300.54
2026-03-01,RBT0096,Model Y,Miami FL,Emergency Repair,Tire Replacement,Senior,3.44,114.03,82.31,0.882,504.03,283.5,787.53
2026-03-01,RBT0017,Model 3,Las Vegas NV,Tesla Fleet,Tire Replacement,Mid,1.4,390.83,87.18,0.927,1861.74,147.96,2009.7
2026-03-01,RBT0090,Model Y,Phoenix AZ,Scheduled Maintenance,Brake System,Senior,0.8,326.56,90.95,0.94,1820.48,65.3,1885.78
2026-03-01,RBT0101,Model Y,Austin TX,Emergency Repair,Software Update,Senior,6.43,226.01,75.0,0.979,864.88,886.48,1751.3600000000001
2026-03-01,RBT0089,Model 3,Miami FL,Robotaxi Repair,Electrical Issue,Mid,4.15,415.45,78.7,0.972,614.46,323.05,937.51
2026-03-01,RBT0038,Cybercab,Las Vegas NV,Tesla Fleet,Camera Calibration,Senior,1.43,367.32,88.18,0.988,1109.44,160.13,1269.5700000000002
2026-03-01,RBT0046,Model 3,Phoenix AZ,B2B Customer,Electrical Issue,Senior,2.87,191.71,81.48,0.873,944.88,270.82,1215.7
2026-03-01,RBT0014,Model Y,Phoenix AZ,B2B Customer,Sensor Failure,Senior,2.35,339.8,85.91,0.877,1241.36,288.63,1529.9899999999998
2026-03-01,RBT0136,Cybercab,Miami FL,Scheduled Maintenance,Electrical Issue,Mid,1.27,435.47,90.37,0.876,324.19,126.36,450.55
2026-03-01,RBT0167,Model 3,Phoenix AZ,B2B Customer,Sensor Failure,Mid,2.53,297.87,83.51,0.896,1185.8,298.96,1484.76
2026-03-01,RBT0059,Cybercab,Austin TX,Tesla Fleet,Tire Replacement,Mid,3.77,354.48,77.76,0.893,840.56,424.96,1265.52
2026-03-01,RBT0157,Model Y,San Francisco CA,Tesla Fleet,Tire Replacement,Junior,3.55,221.63,79.66,0.881,1916.85,394.1,2310.95
2026-03-01,RBT0166,Cybercab,San Francisco CA,Scheduled Maintenance,Tire Replacement,Senior,1.06,268.08,92.23,0.956,1613.89,145.2,1759.0900000000001
2026-03-01,RBT0050,Cybercab,Miami FL,B2B Customer,Tire Replacement,Senior,4.49,371.27,76.07,0.949,202.3,527.03,729.3299999999999
2026-03-01,RBT0101,Model Y,Austin TX,Robotaxi Repair,Electrical Issue,Senior,4.61,200.09,75.93,0.873,1716.25,498.68,2214.93
2026-03-01,RBT0046,Model 3,Phoenix AZ,B2B Customer,Tire Replacement,Senior,2.96,219.96,82.47,0.858,307.29,313.73,621.02
2026-03-01,RBT0052,Cybercab,Las Vegas NV,Emergency Repair,Sensor Failure,Senior,4.77,240.28,76.0,0.905,1642.08,625.12,2267.2
2026-03-01,RBT0127,Model 3,Las Vegas NV,Emergency Repair,Sensor Failure,Junior,4.54,348.02,76.24,0.858,1793.73,676.61,2470.34
2026-03-01,RBT0072,Model Y,Phoenix AZ,Scheduled Maintenance,Sensor Failure,Mid,1.11,374.76,91.42,0.987,1309.47,118.6,1428.07
2026-03-01,RBT0179,Cybercab,San Francisco CA,Scheduled Maintenance,Brake System,Mid,1.06,139.31,91.22,0.926,1324.39,107.5,1431.89
2026-03-01,RBT0123,Model 3,Las Vegas NV,B2B Customer,Camera Calibration,Mid,3.12,141.11,80.91,0.85,94.33,303.37,397.7
2026-03-01,RBT0126,Model 3,Las Vegas NV,Emergency Repair,Brake System,Senior,4.28,145.19,77.03,0.872,417.54,601.33,1018.8700000000001
2026-03-01,RBT0117,Cybercab,Miami FL,Robotaxi Repair,Sensor Failure,Senior,2.68,158.64,85.38,0.852,451.86,221.03,672.89
2026-03-01,RBT0192,Model 3,San Francisco CA,Robotaxi Repair,Brake System,Senior,3.69,418.89,78.61,0.856,905.98,425.91,1331.89
2026-03-01,RBT0158,Model Y,San Francisco CA,Robotaxi Repair,Software Update,Senior,4.97,305.37,75.94,0.931,1176.08,661.24,1837.32
2026-03-01,RBT0166,Cybercab,San Francisco CA,Tesla Fleet,Software Update,Mid,4.51,279.43,76.31,0.908,586.55,525.98,1112.53
2026-03-01,RBT0041,Cybercab,Phoenix AZ,Emergency Repair,Tire Replacement,Junior,5.76,169.09,75.0,0.986,1886.09,721.51,2607.6
2026-03-01,RBT0096,Model Y,Miami FL,Emergency Repair,Battery Issue,Senior,4.5,117.97,75.76,0.956,973.36,623.87,1597.23
2026-03-01,RBT0135,Model Y,Austin TX,Tesla Fleet,Electrical Issue,Senior,1.58,346.52,86.66,0.908,862.19,181.01,1043.2
2026-03-01,RBT0077,Model Y,Phoenix AZ,Scheduled Maintenance,Software Update,Mid,0.81,201.87,93.33,0.969,230.3,104.12,334.42
2026-03-01,RBT0170,Model Y,Phoenix AZ,B2B Customer,Sensor Failure,Mid,2.51,488.2,82.71,0.86,1619.07,298.7,1917.77
2026-03-01,RBT0073,Model Y,Las Vegas NV,Emergency Repair,Software Update,Mid,3.25,156.28,80.66,0.977,463.03,290.37,753.4
2026-03-01,RBT0052,Cybercab,Las Vegas NV,Robotaxi Repair,Tire Replacement,Mid,4.66,235.83,76.41,0.906,516.7,461.68,978.3800000000001
2026-03-01,RBT0177,Cybercab,Miami FL,Tesla Fleet,Brake System,Mid,3.13,406.37,80.99,0.922,1019.69,258.28,1277.97
2026-03-01,RBT0067,Model Y,Austin TX,Scheduled Maintenance,Electrical Issue,Mid,1.87,262.83,86.86,0.929,481.48,160.84,642.32
